2023-02-02 16:03:52,762 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-02 16:03:52,763 | MainThread   | [INFO    ] | <module>            |: info
2023-02-02 16:03:52,766 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-02 16:03:52,767 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-02 16:03:52,768 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-02 16:03:56,648 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-02 16:03:56,648 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2023-02-02 16:03:56,648 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:04:00,365 | MainThread   | [ERROR   ] | _connect            |: Could not get GATT services: Unreachable
2023-02-02 16:04:01,373 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 16:04:01,373 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:04:03,381 | MainThread   | [ERROR   ] | _connect            |: Device with address 08:9B:0E:3D:04:30 was not found.
2023-02-02 16:04:04,391 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 16:04:04,391 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:04:10,382 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:48:6a:84:3c
2023-02-02 16:08:05,344 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:08:66:25:3C
2023-02-02 16:08:48,665 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 16:08:48,666 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 16:08:48,668 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-02 16:08:48,728 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2023-02-02 16:08:48,739 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2023-02-02 16:09:13,795 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-02 16:09:13,795 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2023-02-02 16:09:13,796 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:09:15,810 | MainThread   | [ERROR   ] | _connect            |: Device with address 5A:A2:7C:D8:7A:B0 was not found.
2023-02-02 16:09:16,812 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 16:09:16,813 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:09:18,819 | MainThread   | [ERROR   ] | _connect            |: Device with address 37:6B:ED:CF:0E:01 was not found.
2023-02-02 16:09:19,821 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 16:09:19,822 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:09:21,843 | MainThread   | [ERROR   ] | _connect            |: Device with address 5A:A2:7C:D8:7A:B0 was not found.
2023-02-02 16:09:22,852 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 16:10:05,956 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 16:10:05,959 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 16:10:05,959 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-02 16:10:15,462 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-02 16:10:15,463 | MainThread   | [INFO    ] | <module>            |: info
2023-02-02 16:10:15,465 | MainThread   | [WARNING ] | <module>            |: warning
